#Prompt,#ITConvos,Prompt,History(n),Context,Precision,Recall,F1,Accuracy,FP,FN,TP,TN,#FTMessages,#FTConvos
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.7333333333333333,0.4583333333333333,0.5641025641025641,0.8712121212121212,8,26,22,208,264,37
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.6538461538461539,0.3541666666666667,0.4594594594594595,0.8484848484848485,9,31,17,207,264,37
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.7894736842105263,0.3125,0.44776119402985076,0.8598484848484849,4,33,15,212,264,37
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.7037037037037037,0.3958333333333333,0.5066666666666667,0.8598484848484849,8,29,19,208,264,37
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.72,0.3673469387755102,0.4864864864864865,0.8532818532818532,7,31,18,203,259,37
20,40,"State if the tone/intent of the following message in the conversation above is negative (only if it is extremely negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.6923076923076923,0.3829787234042553,0.4931506849315068,0.8514056224899599,8,29,18,194,249,36
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.43373493975903615,0.75,0.5496183206106869,0.7765151515151515,47,12,36,169,264,37
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.4675324675324675,0.75,0.5760000000000001,0.7992424242424242,41,12,36,175,264,37
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.48,0.75,0.5853658536585366,0.8068181818181818,39,12,36,177,264,37
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.5,0.7291666666666666,0.5932203389830509,0.8181818181818182,35,13,35,181,264,37
